Region,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EUR,Hib3,77,77,80,79,76,74,72,64,58,45,44,43,42,41,39,38,34,31,20,17,16,15,14,7,4,0,,,,,,,,,,
EUR,MCV1,94,94,95,95,94,93,94,95,95,94,93,92,90,91,92,91,89,88,88,86,84,83,83,82,82,83,79,78,76,73,78,76,73,69,67,59
EUR,MCV2,89,89,89,83,83,81,78,81,82,80,83,83,79,70,62,48,,,,,,,,,,,,,,,,,,,,
EUR,PAB,90,90,90,90,90,90,71,71,70,69,63,77,54,53,53,51,50,49,49,45,44,45,76,76,75,21,14,10,0,0,0,0,0,0,0,0
EUR,PCV3,48,47,45,44,41,37,24,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,Pol3,94,94,96,96,95,95,95,96,96,95,95,95,91,93,94,94,93,93,93,91,89,88,85,85,82,83,81,83,84,82,90,84,81,77,79,75
EUR,RCV1,94,94,95,95,94,93,94,93,93,92,74,74,70,69,66,60,47,46,46,46,44,41,39,37,31,26,23,21,16,15,14,12,9,6,5,4
EUR,RotaC,18,7,4,3,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,BCG,87,89,91,91,92,90,88,87,88,88,87,83,80,79,78,78,78,77,77,82,82,75,74,71,68,71,41,34,32,20,20,18,17,16,14,12
SEAR,DTP1,91,92,92,91,92,89,88,85,84,84,84,81,79,79,79,78,78,81,85,87,88,87,83,81,82,87,76,65,57,48,43,39,35,32,26,22
SEAR,DTP3,87,86,85,84,84,82,78,75,70,71,70,69,67,65,65,64,65,66,67,69,71,70,64,60,61,70,53,41,33,25,20,17,14,12,8,7
SEAR,HepB3,87,81,76,77,56,53,53,47,30,27,24,18,11,10,9,10,,,,,,,,,,,,,,,,,,,,
SEAR,Hib3,56,31,28,11,10,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
SEAR,MCV1,85,85,84,84,85,83,80,76,74,73,73,69,66,62,63,63,63,60,62,69,72,69,63,56,50,59,47,35,27,16,6,3,1,0,0,0
SEAR,MCV2,71,65,58,42,35,16,14,14,12,9,6,7,6,3,3,3,,,,,,,,,,,,,,,,,,,,
SEAR,PAB,88,88,87,88,88,87,87,86,86,86,86,86,86,87,83,84,84,83,83,81,81,82,80,79,78,76,62,59,53,45,40,35,31,28,21,16
SEAR,PCV3,5,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,Pol3,86,85,84,82,82,80,78,75,73,72,71,66,66,66,65,64,66,67,68,71,72,70,65,60,62,67,55,39,30,21,15,12,10,8,4,3
SEAR,RCV1,14,12,12,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
SEAR,RotaC,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,BCG,96,97,97,97,97,97,97,95,93,92,87,88,86,86,86,86,85,84,85,85,81,89,91,93,95,96,96,95,83,70,64,60,38,12,12,6
WPR,DTP1,96,97,97,98,97,96,97,98,97,97,95,95,94,93,94,94,93,93,93,93,91,93,94,95,96,97,97,96,89,89,89,84,76,15,15,12
WPR,DTP3,94,96,95,97,96,96,97,95,92,92,88,88,87,85,86,85,84,83,83,84,80,84,86,89,92,94,92,90,73,74,74,67,55,12,11,8
WPR,HepB3,90,92,91,91,91,91,92,89,85,85,76,72,69,59,56,48,,,,,,,,,,,,,,,,,,,,
WPR,Hib3,25,22,19,15,14,10,4,4,4,3,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,
WPR,MCV1,96,97,97,96,96,96,96,95,92,92,88,88,86,86,86,85,85,84,84,84,81,77,80,85,89,94,91,89,73,61,78,73,66,5,4,5
WPR,MCV2,93,93,91,89,88,87,86,82,72,71,64,4,3,3,3,2,,,,,,,,,,,,,,,,,,,,
WPR,PAB,91,88,85,83,81,81,76,70,71,72,70,69,68,68,68,67,65,64,67,69,65,63,61,48,41,43,38,28,23,19,17,11,12,9,8,6
WPR,PCV3,11,6,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,Pol3,96,97,97,97,96,96,97,97,92,93,88,88,88,85,85,86,86,85,85,84,82,86,88,90,92,94,92,91,76,67,82,76,74,72,7,5
WPR,RCV1,89,90,88,85,78,61,10,10,10,10,11,11,11,11,11,11,11,11,8,8,8,7,6,6,6,6,6,2,2,2,3,2,2,0,0,0
WPR,RotaC,1,1,4,2,1,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Global,BCG,88,89,89,90,90,90,90,88,87,86,85,83,81,80,80,80,80,79,78,80,81,80,79,78,78,81,71,67,61,53,49,44,37,23,21,15
Global,DTP1,91,91,90,90,91,90,90,89,88,88,87,85,84,83,83,83,83,84,86,86,87,86,85,85,86,88,83,79,74,70,67,63,56,39,36,31
Global,DTP3,86,85,85,85,85,85,84,82,80,79,78,76,75,73,73,72,72,72,71,72,73,73,70,70,72,76,68,64,56,52,49,45,39,26,24,21
Global,HepB3,83,82,80,80,75,73,74,69,63,58,53,48,43,37,31,28,,,,,,,,,,,,,,,,,,,,
Global,Hib3,64,56,52,45,43,42,39,28,25,22,21,20,18,17,15,14,8,7,5,5,4,1,1,1,0,0,,,,,,,,,,
Global,MCV1,85,84,84,84,85,85,84,81,80,79,78,76,74,72,73,72,71,71,71,73,73,72,70,69,69,73,68,63,54,47,48,42,37,21,20,17
Global,MCV2,61,58,54,48,46,39,38,35,33,33,30,20,19,18,17,15,,,,,,,,,,,,,,,,,,,,
Global,PAB,83,83,82,81,82,84,83,81,80,80,78,79,77,76,74,74,72,70,70,68,68,67,66,63,61,60,50,45,39,30,26,21,18,16,12,8
Global,PCV3,37,32,26,19,15,11,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global,Pol3,86,85,85,85,85,85,84,83,81,80,79,76,75,75,74,73,73,73,73,74,74,73,71,70,72,75,71,65,57,51,52,48,44,41,24,22
Global,RCV1,46,44,42,39,38,35,26,26,26,26,24,24,23,22,22,21,17,15,13,12,12,10,9,9,9,8,7,6,5,5,5,5,4,4,3,3
Global,RotaC,23,18,14,11,9,8,7,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Global,YFV,43,42,41,38,37,39,42,39,40,36,32,26,17,13,13,12,11,10,4,,,,,,,,,,,,,,,,,
