Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EUR,DNK,Denmark,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,DJI,Djibouti,HepB_BD,92,94,86,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,DMA,Dominica,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,DOM,Dominican Republic (the),HepB_BD,64,67,63,59,67,65,58,54,46,75,75,66,66,66,66,,,,,,,,,,,,,,,,,,,,,
AMR,ECU,Ecuador,HepB_BD,75,79,69,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,EGY,Egypt,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,SLV,El Salvador,HepB_BD,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GNQ,Equatorial Guinea,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ERI,Eritrea,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,EST,Estonia,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ETH,Ethiopia,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,FJI,Fiji,HepB_BD,90,90,90,90,90,90,90,90,90,90,90,86,96,95,99,,,,,,,,,,,,,,,,,,,,,
EUR,FIN,Finland,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,FRA,France,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GAB,Gabon,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GMB,Gambia (the),HepB_BD,98,96,93,97,90,93,94,96,96,96,95,95,95,95,95,95,,,,,,,,,,,,,,,,,,,,
EUR,GEO,Georgia,HepB_BD,93,95,80,92,93,95,73,99,99,97,93,92,90,80,69,,,,,,,,,,,,,,,,,,,,,
EUR,DEU,Germany,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GHA,Ghana,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,GRC,Greece,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,GRD,Grenada,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,GTM,Guatemala,HepB_BD,32,22,32,35,31,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GIN,Guinea,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GNB,Guinea-Bissau,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,GUY,Guyana,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,HTI,Haiti,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,HND,Honduras,HepB_BD,72,69,62,63,77,78,72,61,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,HUN,Hungary,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ISL,Iceland,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,IND,India,HepB_BD,44,41,37,23,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAR,IDN,Indonesia,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,IRN,Iran (Islamic Republic of),HepB_BD,96,97,99,96,99,99,99,99,99,99,96,99,99,99,94,99,,,,,,,,,,,,,,,,,,,,
EMR,IRQ,Iraq,HepB_BD,43,43,43,37,32,27,60,92,90,88,93,92,,,,,,,,,,,,,,,,,,,,,,,,
EUR,IRL,Ireland,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ISR,Israel,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,ITA,Italy,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,JAM,Jamaica,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,JPN,Japan,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,JOR,Jordan,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,KAZ,Kazakhstan,HepB_BD,95,95,95,96,96,96,97,95,96,97,98,99,99,99,95,98,,,,,,,,,,,,,,,,,,,,
AFR,KEN,Kenya,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,KIR,Kiribati,HepB_BD,96,66,84,82,66,63,52,59,58,68,70,72,74,76,78,80,,,,,,,,,,,,,,,,,,,,
EMR,KWT,Kuwait,HepB_BD,99,96,98,97,98,99,99,99,99,99,99,99,98,96,95,94,,,,,,,,,,,,,,,,,,,,
EUR,KGZ,Kyrgyzstan,HepB_BD,97,99,96,94,73,99,98,98,98,97,98,99,99,99,93,45,,,,,,,,,,,,,,,,,,,,
WPR,LAO,Lao People's Democratic Republic (the),HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,LVA,Latvia,HepB_BD,,,,,,,97,98,97,97,98,99,98,99,99,98,,,,,,,,,,,,,,,,,,,,
EMR,LBN,Lebanon,HepB_BD,94,94,94,94,94,94,94,94,94,94,94,94,94,94,90,90,,,,,,,,,,,,,,,,,,,,
AFR,LSO,Lesotho,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,LBR,Liberia,HepB_BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMR,LBY,Libya,HepB_BD,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,
