Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
AMR,CHL,Chile,DTP1,97,99,92,90,98,93,94,96,98,95,92,94,98,98,99,98,97,97,96,97,97,97,96,96,97,98,98,98,97,96,99,99,96,99,99,97
WPR,CHN,China,DTP1,99,99,99,99,99,99,99,99,99,99,95,95,95,95,95,94,94,94,94,94,93,95,96,97,97,98,98,98,91,92,92,90,80,,,
AMR,COL,Colombia,DTP1,93,91,97,91,95,96,97,97,97,97,97,90,94,93,82,91,95,95,94,95,95,95,94,92,94,96,92,90,80,72,82,82,67,51,44,39
AFR,COM,Comoros (the),DTP1,81,83,85,91,92,81,89,85,79,78,77,85,82,96,85,85,73,90,72,82,91,80,88,63,76,97,94,68,88,88,75,56,,,,
AFR,COG,Congo (the),DTP1,85,95,90,90,90,90,92,93,80,81,73,67,62,50,44,45,46,46,47,62,74,78,82,86,90,92,92,89,89,88,77,77,74,72,67,67
WPR,COK,Cook Islands,DTP1,99,99,98,98,98,99,99,99,99,99,99,99,96,99,97,99,98,98,97,91,97,95,99,95,95,97,96,97,94,95,92,72,80,75,71,65
AMR,CRI,Costa Rica,DTP1,93,91,98,92,87,96,91,90,90,89,97,96,89,98,91,90,92,95,97,95,95,96,96,96,96,98,95,95,97,96,96,97,95,93,95,95
AFR,CIV,Côte d'Ivoire,DTP1,99,93,89,93,75,95,95,89,93,95,83,73,71,76,81,85,77,74,77,70,64,72,77,73,64,77,67,56,56,55,50,42,,,,
EUR,HRV,Croatia,DTP1,98,98,98,98,97,97,97,97,96,96,96,96,98,99,94,95,96,96,97,97,96,95,95,94,,,,,,,,,,,,
AMR,CUB,Cuba,DTP1,99,99,99,99,99,96,98,96,97,98,99,89,90,99,99,98,95,99,99,96,99,99,99,97,99,97,98,98,95,99,97,95,99,99,87,86
EUR,CYP,Cyprus,DTP1,98,99,99,99,99,99,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,97,97,97,97,96,97,97,82,55,59,51,79,59
EUR,CZE,Czech Republic (the),DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,99,,,,,,,,,,,,,
SEAR,PRK,Democratic People's Republic of Korea (the),DTP1,97,94,94,97,95,94,94,93,93,91,83,75,70,65,63,61,58,56,54,74,84,91,96,96,98,98,98,95,95,82,78,86,76,75,76,74
AFR,COD,Democratic Republic of the Congo (the),DTP1,82,81,79,81,85,71,82,73,78,71,68,66,53,47,49,49,46,44,41,41,47,51,54,47,39,60,63,66,63,57,62,52,39,40,41,
EUR,DNK,Denmark,DTP1,96,96,97,97,94,93,90,89,87,93,93,95,98,99,97,98,99,99,97,94,97,96,97,98,98,98,98,97,97,97,99,95,96,97,97,97
EMR,DJI,Djibouti,DTP1,90,93,87,85,89,90,90,90,92,76,73,81,76,72,65,66,63,60,57,66,66,66,66,66,77,95,91,85,50,48,46,45,36,25,,
AMR,DMA,Dominica,DTP1,99,99,98,98,99,99,99,96,98,98,99,99,99,99,99,99,99,99,97,99,99,99,99,99,98,97,97,98,98,97,97,94,97,99,98,84
AMR,DOM,Dominican Republic (the),DTP1,99,95,91,92,91,96,85,86,87,93,92,87,88,92,95,91,95,91,86,88,89,90,91,90,88,87,80,80,93,93,64,59,54,53,52,61
AMR,ECU,Ecuador,DTP1,80,84,87,88,89,91,98,98,98,96,96,95,95,95,95,94,93,94,93,94,94,94,95,95,81,87,78,77,75,69,66,72,56,60,51,31
EMR,EGY,Egypt,DTP1,94,96,97,94,97,97,97,98,98,98,98,98,98,98,99,98,98,97,96,96,96,94,93,92,91,95,96,95,93,93,94,87,80,80,80,80
AMR,SLV,El Salvador,DTP1,93,96,97,92,90,90,97,99,99,98,96,96,98,93,97,99,98,99,98,98,99,96,92,82,82,93,84,84,77,74,78,56,45,67,67,69
AFR,GNQ,Equatorial Guinea,DTP1,28,59,49,56,59,59,60,60,61,61,62,62,63,63,64,64,65,94,94,94,94,94,94,95,96,96,72,42,31,21,21,,,,,
AFR,ERI,Eritrea,DTP1,98,97,97,97,99,96,96,98,95,97,99,99,97,94,91,88,97,90,83,75,68,61,49,,,,,,,,,,,,,
EUR,EST,Estonia,DTP1,94,95,96,96,96,96,97,97,98,98,99,98,99,99,99,96,98,97,96,96,94,92,90,,,,,,,,,,,,,
AFR,ETH,Ethiopia,DTP1,94,86,84,82,80,77,74,71,67,64,61,58,55,52,50,47,44,61,78,78,80,80,53,35,45,73,51,39,39,27,25,22,22,21,21,
WPR,FJI,Fiji,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,98,98,97,97,96,96,95,98,98,98,98,98,99,98,98,98,96,88,87,91,93,84,88,87
EUR,FIN,Finland,DTP1,99,99,99,99,99,99,99,99,99,99,99,98,98,99,99,99,99,99,99,99,99,99,99,99,98,96,96,99,98,98,98,98,97,97,97,97
EUR,FRA,France,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,97,97,97,97,98,92,96,98,98,97,96,95,92,92
AFR,GAB,Gabon,DTP1,87,77,80,86,82,82,81,85,86,69,69,69,69,69,69,69,69,72,75,78,81,85,88,92,94,96,96,86,76,66,56,46,36,,,
AFR,GMB,Gambia (the),DTP1,99,98,99,99,99,99,98,96,98,98,95,96,97,96,97,97,97,98,98,99,99,99,99,97,96,98,96,96,95,93,90,91,88,91,87,89
EUR,GEO,Georgia,DTP1,97,99,99,94,98,99,99,99,99,99,91,88,95,96,97,89,88,87,88,90,91,80,77,80,,,,,,,,,,,,
EUR,DEU,Germany,DTP1,98,98,98,98,98,98,98,98,98,98,98,98,99,95,95,95,99,95,95,94,92,90,83,95,93,93,93,93,93,96,93,97,97,98,98,
AFR,GHA,Ghana,DTP1,97,99,94,92,94,96,96,96,96,87,88,88,87,84,81,96,86,87,88,88,88,88,86,83,82,80,75,72,67,60,46,42,47,47,46,27
EUR,GRC,Greece,DTP1,99,99,99,99,99,99,99,99,99,99,96,96,96,96,96,96,96,96,96,96,96,96,96,96,95,77,77,94,94,93,77,82,89,94,98,89
AMR,GRD,Grenada,DTP1,94,97,99,99,98,99,99,99,98,97,99,87,99,99,98,99,96,99,98,93,98,97,96,96,95,93,95,85,93,98,82,91,87,79,68,50
AMR,GTM,Guatemala,DTP1,99,89,97,96,94,96,94,99,88,95,97,98,96,93,93,94,91,94,90,86,91,88,91,86,84,86,74,72,39,62,45,72,69,70,67,68
AFR,GIN,Guinea,DTP1,60,60,76,76,76,86,76,64,76,75,75,75,71,68,64,61,57,72,72,72,77,77,77,76,61,40,40,39,37,37,37,37,37,37,,
AFR,GNB,Guinea-Bissau,DTP1,92,92,92,92,92,92,92,91,89,88,86,84,81,79,76,73,69,76,83,77,70,90,89,86,84,82,86,95,87,88,57,57,45,,,
AMR,GUY,Guyana,DTP1,96,99,98,99,97,99,99,94,96,95,93,97,93,96,98,97,97,97,96,94,95,96,97,92,93,94,91,84,86,84,91,88,79,77,70,60
AMR,HTI,Haiti,DTP1,80,72,86,87,88,87,86,86,85,84,83,81,79,77,75,73,71,69,66,75,75,75,73,72,70,66,74,72,53,48,42,36,29,35,36,21
AMR,HND,Honduras,DTP1,88,86,88,88,92,96,99,96,94,95,99,98,97,98,98,98,98,99,96,97,97,97,97,97,97,94,95,90,80,83,80,66,76,71,59,53
EUR,HUN,Hungary,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
EUR,ISL,Iceland,DTP1,96,96,97,97,99,98,99,99,97,97,95,99,97,96,95,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,97,98,99,99
SEAR,IND,India,DTP1,90,90,90,89,89,86,84,81,81,81,82,77,76,75,75,74,74,78,82,86,88,86,82,79,80,88,74,65,55,44,41,39,36,33,25,25
SEAR,IDN,Indonesia,DTP1,90,97,97,98,98,97,94,92,87,86,85,84,84,83,82,84,86,88,90,89,87,87,86,84,83,82,80,77,74,72,52,35,25,18,18,
EMR,IRN,Iran (Islamic Republic of),DTP1,99,99,98,99,99,99,99,99,99,98,97,99,99,99,96,99,99,99,99,99,98,98,99,98,96,97,94,96,80,80,75,58,58,66,54,57
EMR,IRQ,Iraq,DTP1,73,77,82,87,90,86,88,81,68,76,84,86,87,89,90,92,93,79,89,88,86,84,82,86,90,93,97,98,98,98,98,81,39,41,35,36
