Region,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EMR,EGY,Egypt,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,SLV,El Salvador,RotaC,93,96,92,93,90,90,62,83,78,25,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GNQ,Equatorial Guinea,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ERI,Eritrea,RotaC,96,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,EST,Estonia,RotaC,64,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,ETH,Ethiopia,RotaC,83,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPR,FJI,Fiji,RotaC,99,99,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,FIN,Finland,RotaC,93,93,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,FRA,France,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GAB,Gabon,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GMB,Gambia (the),RotaC,97,92,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,GEO,Georgia,RotaC,72,69,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,DEU,Germany,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR,GHA,Ghana,RotaC,88,98,87,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR,GRC,Greece,RotaC,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,GRD,Grenada,RotaC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMR,GTM,Guatemala,RotaC,79,54,81,81,71,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
